"vteartificial_induction_of_immunity_/_immunization:_vaccines,_vaccination,_infection,_inoculation_(j07)","vteartificial_induction_of_immunity_/_immunization:_vaccines,_vaccination,_infection,_inoculation_(j07).1"
Development,Adjuvants Vaccine ingredients list Mathematical modelling Storage Timeline Trials
Classes,Conjugate Inactivated Live Attenuated Heterologous Subunit/component / Peptide / Virus-like particle / Synthetic DNA / mRNA Therapeutic Toxoid
Administration,Global: GAVI Alliance NITAG SAGE Vaccine wastage Policy Schedule Vaccine injury US: ACIP Vaccine court Vaccines for Children Program VAERS VSD
Vaccines,"Bacterial Anthrax Brucellosis Cholera# Diphtheria# Hib# Leptospirosis Lyme disease‡ Meningococcus# MeNZB NmVac4-A/C/Y/W-135 Pertussis# Plague Pneumococcal# PCV PPSV Q fever Tetanus# Tuberculosis BCG# Typhoid# Ty21a ViCPS Typhus combination: DPT/DTwP/DTaP Td/Tdap research: Clostridioides difficile Group B streptococcal disease Shigellosis Viral Adenovirus Chikungunya Ebola rVSV-ZEBOV Flu# H1N1 (Pandemrix) H5N1 H5N8 LAIV Hantavirus Hepatitis A# Hepatitis B# Hepatitis E HPV# Cervarix Gardasil Japanese encephalitis# Measles# Mpox Mumps# Polio# Sabin Salk Rabies# Rotavirus# Rubella# SARS-CoV-2 Corbevax† Bharat Biotech† CanSino† CoronaVac† EpiVacCorona† Janssen Kostaive Moderna Novavax Oxford–AstraZeneca Pfizer–BioNTech Sanofi–GSK† Sinopharm BIBP† Skycovione† Sputnik V† Valneva† Respiratory syncytial virus (RSV) Smallpox Tick-borne encephalitis# Varicella zoster Chicken pox# Shingles Yellow fever# combination: Hepatitis A and B Influenza and COVID-19 MMR MMRV research: Cytomegalovirus Dengue# Epstein–Barr virus Hepatitis C Herpes simplex HIV Zika Protozoan Malaria RTS,S research: Trypanosomiasis Helminthiasis research: Hookworm Schistosomiasis Other Androvax (androstenedione albumin) Cancer vaccines ALVAC-CEA BCG# Hepatitis B# HPV# Cervarix Gardasil Prostvac NicVAX Ovandrotone albumin (Fecundin) TA-CD TA-NIC combination: DTaP-IPV/Hib DTaP-IPV-HepB DTwP-HepB-Hib Hexavalent vaccine"
Bacterial,Anthrax Brucellosis Cholera# Diphtheria# Hib# Leptospirosis Lyme disease‡ Meningococcus# MeNZB NmVac4-A/C/Y/W-135 Pertussis# Plague Pneumococcal# PCV PPSV Q fever Tetanus# Tuberculosis BCG# Typhoid# Ty21a ViCPS Typhus combination: DPT/DTwP/DTaP Td/Tdap research: Clostridioides difficile Group B streptococcal disease Shigellosis
Viral,Adenovirus Chikungunya Ebola rVSV-ZEBOV Flu# H1N1 (Pandemrix) H5N1 H5N8 LAIV Hantavirus Hepatitis A# Hepatitis B# Hepatitis E HPV# Cervarix Gardasil Japanese encephalitis# Measles# Mpox Mumps# Polio# Sabin Salk Rabies# Rotavirus# Rubella# SARS-CoV-2 Corbevax† Bharat Biotech† CanSino† CoronaVac† EpiVacCorona† Janssen Kostaive Moderna Novavax Oxford–AstraZeneca Pfizer–BioNTech Sanofi–GSK† Sinopharm BIBP† Skycovione† Sputnik V† Valneva† Respiratory syncytial virus (RSV) Smallpox Tick-borne encephalitis# Varicella zoster Chicken pox# Shingles Yellow fever# combination: Hepatitis A and B Influenza and COVID-19 MMR MMRV research: Cytomegalovirus Dengue# Epstein–Barr virus Hepatitis C Herpes simplex HIV Zika
Protozoan,"Malaria RTS,S research: Trypanosomiasis"
Helminthiasis,research: Hookworm Schistosomiasis
Other,Androvax (androstenedione albumin) Cancer vaccines ALVAC-CEA BCG# Hepatitis B# HPV# Cervarix Gardasil Prostvac NicVAX Ovandrotone albumin (Fecundin) TA-CD TA-NIC combination: DTaP-IPV/Hib DTaP-IPV-HepB DTwP-HepB-Hib Hexavalent vaccine
Inventors/ researchers,Edward Jenner Louis Pasteur Hilary Koprowski Jonas Salk John Franklin Enders Maurice Hilleman Stanley Plotkin H. Fred Clark Paul Offit Katalin Karikó Drew Weissman
Controversy,General MMR (Lancet MMR autism fraud) NCVIA Pox party Thiomersal Vaccines and SIDS Cedillo v. Secretary of Health and Human Services Alternative vaccination schedule 2000 Simpsonwood CDC conference
Related,Epidemiology Eradication of infectious diseases Vaccinate Your Family List of vaccine topics
#WHO-EM ‡Withdrawn from market Clinical trials: †Phase III §Never to phase III,#WHO-EM ‡Withdrawn from market Clinical trials: †Phase III §Never to phase III
